INDIVIDUAL,NEST ID,AGE        (days),BODY CONDITION,BROOD ORDER,MEAN TEMPERATURE,FEATHER CORT (ng/mm)
1,58,41,1.23,FIRST,21.59,5.57
2,62,43,0.9,SECOND,21.94,10
3,40,27,0.9,SECOND,22.43,15.75
4,42,31,1.12,FIRST,22.37,7.29
5,7,36,1.04,FIRST,21.97,9.45
6,15,36,0.88,FIRST,21.92,11.06
7,194,32,1.03,SINGLETON,20.21,12.47
8,127,31,1.1,FIRST,19.2,23.45
9,179,29,0.75,SECOND,20,10.24
10,100,25,1.3,FIRST,20.7,10.79
11,115,38,1.09,FIRST,20.44,6.32
12,115,33,1.04,SECOND,20.36,8.52
13,103,31,0.93,SECOND,20.29,22.53
14,102,33,1.19,FIRST,20.4,9.07
15,184,26,1.33,FIRST,20,13.77
16,117,37,1.03,FIRST,19.71,9.76
17,146,35,0.99,FIRST,19.59,7.36
18,176,33,1.06,FIRST,19.36,8.93
19,106,37,0.98,FIRST,20.17,7.6
20,140,27,0.82,FIRST,20.14,12.66
21,164,29,0.99,FIRST,20,18.14
22,121,25,1.09,FIRST,20.7,19.9
23,163,31,1.21,FIRST,20.11,7.76
24,163,29,1.02,SECOND,20.18,9.37
25,135,27,1.1,FIRST,20.54,9.77
26,157,25,1.09,FIRST,20.7,10.01
27,138,25,1.3,FIRST,20.47,9.23
28,138,25,1.2,SECOND,20.47,13.95
29,144,25,1.37,FIRST,20.47,10.99
30,144,22,1.01,SECOND,21.1,27.85
31,158,25,0.9,FIRST,21.93,14.69
32,122,34,0.97,FIRST,20.34,9.51
33,122,34,1.1,SECOND,20.34,8.75
34,122,29,1.06,THIRD,20.97,11.19
35,199,32,0.8,FIRST,21.54,9.91
36,130,29,0.95,SINGLETON,20.97,6.9
37,119,31,1.1,SECOND,20.29,6.59
38,168,40,1.22,SINGLETON,20.45,7.41
39,139,27,1.28,FIRST,20.77,9.64
40,139,25,0.83,SECOND,21.43,17.65
41,155,29,1.15,FIRST,20.62,8.74
42,156,27,0.95,FIRST,20.77,10.68
43,129,32,1.06,FIRST,20.58,9.28
44,129,32,0.99,SECOND,20.58,8.44
45,195,31,1.06,FIRST,20.63,8.76
46,118,33,1.08,FIRST,20.53,8.7
47,195,31,0.95,SECOND,20.63,18.47
48,119,33,1.17,FIRST,20.4,7.22
49,118,33,0.92,SECOND,20.53,8.62
50,123,23,0.86,SINGLETON,22.05,13.07
51,171,27,0.83,SINGLETON,20.88,11.1
52,311,30,1.07,THIRD,16.94,14.82
53,311,36,1.09,SECOND,17.1,8.79
54,311,37,1.07,FIRST,17.25,13.27
55,289,43,0.93,FIRST,17.56,7.27
56,289,43,0.93,SECOND,17.56,7.77
57,241,37,1.1,SECOND,16.84,9.34
58,241,37,1.13,FIRST,16.84,12.96
59,286,27,1.05,FIRST,22.68,8.24
60,239,26,1.3,FIRST,16.95,11.77
61,239,26,0.94,SECOND,16.95,18.32
62,242,27,0.82,SECOND,17.02,14.39
63,242,29,0.87,FIRST,16.99,8.56
64,258,29,1.3,FIRST,16.87,8.35
65,288,29,0.95,SINGLETON,16.99,9.54
66,325,30,1,SECOND,16.88,8.24
67,325,33,1.11,FIRST,16.73,8.22
68,321,24,1.13,SECOND,17.2,22.7
69,321,27,1.35,FIRST,17.02,10.41
70,310,31,1.23,SECOND,17.86,12.66
71,220,23,1.26,FIRST,18.65,12.09
72,266,38,1.05,FIRST,18.57,6.81
73,266,35,0.64,SECOND,18.63,10.81
74,323,21,0.93,SINGLETON,22.08,10.6
75,307,29,1.05,FIRST,20.08,7.87
76,307,24,0.91,SECOND,21.57,10.42
77,261,28,0.89,FIRST,18.54,12.17
78,261,28,0.81,SECOND,18.54,19.83
79,260,38,0.98,FIRST,18.01,9.45
80,260,35,0.9,SECOND,18.18,18.11
81,272,35,1.19,FIRST,18.18,7.87
82,282,30,0.85,FIRST,18.28,20.88
83,282,30,1.02,SECOND,18.28,11.3
84,249,31,1,FIRST,18.19,10.45
85,249,31,0.61,SECOND,18.19,12.61
86,249,24,0.53,THIRD,19.07,13.84
87,236,32,1.07,THIRD,16.92,11.42
88,244,33,1.25,FIRST,17.07,7.8
89,244,31,0.86,SECOND,17.16,9.39
90,304,24,1.19,FIRST,17.01,12.01
91,205,27,1.17,FIRST,16.91,10.77
92,263,19,1.14,FIRST,16.71,12.21
93,203,26,1.04,SECOND,16.94,28.08
94,204,19,1.09,SECOND,16.71,24.87
95,203,28,1.21,FIRST,16.85,13.77
96,314,33,0.97,SECOND,16.89,9.25
97,314,34,1.07,FIRST,17.05,10.19
98,252,32,1.07,FIRST,16.77,11.82
99,292,25,1.13,FIRST,17.03,13.02
100,292,23,1.11,SECOND,17.12,15.67
101,319,25,1.06,FIRST,17.03,11.73
102,312,28,1.11,SECOND,20.21,9.87
103,202,21,1.3,FIRST,22.03,11.72
104,268,30,1.14,FIRST,20.2,9.46
105,268,30,1.06,SECOND,20.2,10.07
106,205,43,0.67,SECOND,18.81,8.72
107,221,31,0.81,SINGLETON,19.95,6.69
108,302,22,1.33,SINGLETON,21.93,15.2
109,225,24,1.07,FIRST,21.77,8.09
110,243,41,1.09,FIRST,18.97,6.03
111,243,38,1.03,SECOND,19.08,6.86
112,312,31,1.09,FIRST,19.74,9.29
113,283,29,0.92,FIRST,22.13,9.05
114,290,39,0.66,FIRST,20.47,10.39
115,236,32,1.07,FIRST,16.92,7.83
116,226,21,1.16,FIRST,17.12,12.16
117,322,36,1.08,FIRST,17.22,8.54
118,250,34,1.17,FIRST,16.9,14.3
119,214,30,0.98,FIRST,17.61,9.76
120,214,27,0.67,SECOND,17.49,12.97
121,211,31,1.16,FIRST,17.63,11.1
122,246,27,0.88,SINGLETON,18.06,9.12
123,253,37,1.2,FIRST,17,8.31
124,253,36,1.27,SECOND,17,12.57
125,256,31,1.15,FIRST,17.16,11.54
126,257,28,1.09,FIRST,17.15,10.73
127,257,26,0.7,SECOND,16.99,18.91
128,294,30,1.13,FIRST,17.19,13.86
129,294,26,0.82,SECOND,16.99,14.61
130,232,45,0.92,FIRST,17.5,7.74
131,232,42,0.81,SECOND,17.15,8.08
132,223,30,0.87,FIRST,17.44,7.73
133,299,31,0.8,FIRST,17.42,9.55
134,298,24,0.75,FIRST,17.36,9.27
135,247,28,0.83,SINGLETON,24.38,7.34
136,235,38,1.11,SECOND,20.62,4.27
137,270,41,1,SINGLETON,20.39,13.94
138,320,43,1.2,FIRST,20.12,10.85
139,320,40,1.01,SECOND,20.55,10.68
140,262,33,1.07,FIRST,21.86,10.13
141,262,33,0.86,SECOND,21.86,20
142,265,32,0.84,SINGLETON,22.25,8.29
143,315,33,0.7,SINGLETON,23.92,9.15
144,217,29,0.91,FIRST,24.22,12.08
145,309,25,0.79,SINGLETON,24.83,6.74
146,295,28,0.72,SINGLETON,24.7,11.31
147,235,38,1.02,FIRST,20.62,5.57
148,310,55,0.99,THIRD,21.9,8.88
149,287,28,0.8,SINGLETON,24.38,7.68
150,296,25,1.02,FIRST,24.08,12.24
151,428,32,1.03,SINGLETON,19.76,10.11
152,370,32,0.8,FIRST,20.39,14.3
153,418,31,1.13,FIRST,19.71,9.82
154,393,32,0.98,SECOND,22.89,6.71
155,393,32,1.03,FIRST,22.89,7.57
156,394,35,0.99,FIRST,21.36,10.28
157,394,30,0.88,SECOND,21.82,15.72
158,407,32,1.22,FIRST,19.61,12.76
159,425,32,1.06,FIRST,22.89,4.29
